barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511147_1_1,121063733,600,5,12876,stratum radiatum of caudal CA1,,H376.IV.02,/api/v2/well_known_file_download/149124083
252491511197_2_3,147805450,600,5,127402586,SG in midlateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817393
252491511195_1_4,147805384,600,5,127424203,IZ in inferolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817355
252491511187_1_2,114245394,600,5,12026,lateral ganglionic eminence,,H376.IV.02,/api/v2/well_known_file_download/121059629
252491511265_1_2,147803249,600,5,113221761,VZ in posteror frontal cortex (motor cortex),,H376.IIIA.02,/api/v2/well_known_file_download/147815600
252491511096_2_4,127366707,600,5,113221576,outer SZ in posterosuperior (dorsal) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206274
252491510932_1_4,147805360,600,5,127401324,SP in superolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817195
252491511192_1_2,147805270,600,5,127407545,VZ in caudal cingulate neocortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817303
252491511046_2_2,121081408,600,5,113220734,posterior cortical nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195863
252491511254_2_3,147805788,600,5,127409129,IZ in orbital frontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820244
252491511263_1_1,147803524,600,5,127404178,inner SZ in dorsomedial extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815566
252491511265_2_1,147803233,600,5,113221751,IZ in rostral cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815606
252491510956_1_1,146036841,600,5,113220664,SP in midcingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/146039589
252491511159_1_1,114245750,600,5,12008,inner SZ in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059857
252491510954_2_2,146036751,600,5,113220501,IZ in dysgranular insular cortex,,H376.IV.03,/api/v2/well_known_file_download/146039567
252491511269_1_2,147804026,600,5,127402578,outer SZ in midlateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815664
